,Type,Arrêt,tag,acces_handi,coord_geo
112,metro,Jacques Bonsergent,station,,"(48.8711191, 2.3607546)"
113,tram,Les Coquetiers,tram_stop,,"(48.8924898, 2.4993918)"
114,tram,Gargan,tram_stop,,"(48.9073546, 2.5165518)"
115,tram,Freinville - Sevran,tram_stop,,"(48.9265328, 2.5191432)"
116,tram,Rougemont - Chanteloup,tram_stop,,"(48.9309466, 2.5150612)"
117,tram,Aulnay-sous-Bois,tram_stop,,"(48.9319525, 2.496115)"
118,tram,Allée de la Tour-Rendez-Vous,tram_stop,,"(48.897132, 2.5064295)"
119,metro,Anatole France,station,no,"(48.8920499, 2.2850318)"
120,metro,Croix de Chavaux,station,no,"(48.857946, 2.4357587)"
121,metro,Mairie de Montreuil,station,no,"(48.8625988, 2.441569)"
122,metro,Pont de Levallois – Bécon,station,no,"(48.8971408, 2.2803973)"
123,metro,Louise Michel,station,,"(48.8882803, 2.2884734)"
124,tram,Issy Val-de-Seine,tram_stop,yes,"(48.8297648, 2.2631174)"
125,metro,Maraîchers,station,no,"(48.8526992, 2.4061094)"
126,metro,Robespierre,station,no,"(48.8558145, 2.4237108)"
127,metro,Rue des Boulets,station,no,"(48.8525808, 2.3887914)"
128,metro,Charonne,station,no,"(48.8547441, 2.3853565)"
129,metro,Voltaire,station,no,"(48.858158, 2.3798044)"
130,metro,Saint-Ambroise,station,no,"(48.8610516, 2.3747956)"
131,metro,Oberkampf,station,no,"(48.8640529, 2.3694165)"
132,metro,Bonne Nouvelle,station,no,"(48.8706233, 2.3487498)"
133,metro,Grands Boulevards,station,no,"(48.8714412, 2.3434953)"
135,metro,Saint-Augustin,station,no,"(48.8744582, 2.3218162)"
136,metro,Cardinal Lemoine,station,,"(48.8465283, 2.351772)"
137,metro,Maubert - Mutualité,station,no,"(48.8501284, 2.3483786)"
138,metro,Cluny-La Sorbonne,station,limited,"(48.8511281, 2.3442177)"
139,metro,Odéon,station,no,"(48.8522428, 2.3393369)"
140,metro,Mabillon,station,no,"(48.8528994, 2.3349474)"
141,metro,Balard,station,no,"(48.8363968, 2.278379)"
142,metro,Lourmel,station,no,"(48.8387364, 2.2821481)"
143,metro,Boucicaut,station,no,"(48.8410837, 2.2879218)"
144,metro,Félix Faure,station,no,"(48.8426775, 2.2917792)"
145,metro,Dugommier,station,no,"(48.8390481, 2.389721)"
146,metro,Daumesnil,station,no,"(48.8395499, 2.3959426)"
147,metro,Bercy,station,yes,"(48.8401549, 2.3799474)"
148,metro,Montparnasse-Bienvenüe,station,no,"(48.8421022, 2.3202714)"
149,metro,Pasteur,station,no,"(48.8429314, 2.3125908)"
150,metro,Kléber,station,no,"(48.8716801, 2.2935185)"
151,metro,Boissière,station,no,"(48.8670206, 2.2901583)"
152,metro,Passy,station,yes,"(48.8575009, 2.285778)"
153,metro,Iéna,station,no,"(48.8646725, 2.2937783)"
154,metro,Rue de la Pompe,station,no,"(48.8640416, 2.2780752)"
155,metro,La Muette,station,no,"(48.8579754, 2.274062)"
156,metro,Ranelagh,station,no,"(48.8555764, 2.2702166)"
157,metro,Jasmin,station,no,"(48.8525598, 2.2681802)"
158,metro,Michel-Ange - Auteuil,station,no,"(48.8479434, 2.2641344)"
159,metro,Michel-Ange - Molitor,station,no,"(48.8452434, 2.261895)"
160,metro,Exelmans,station,no,"(48.8430044, 2.2600472)"
161,metro,Porte de Saint-Cloud,station,no,"(48.8377707, 2.2565741)"
162,metro,Alma-Marceau,station,no,"(48.8649686, 2.3006256)"
163,metro,Saint-Philippe du Roule,station,no,"(48.8723362, 2.3100827)"
164,metro,Miromesnil,station,yes,"(48.873719, 2.3145029)"
165,metro,Sèvres-Babylone,station,no,"(48.851378, 2.3269335)"
166,metro,Mairie de Clichy,station,,"(48.9032278, 2.3059879)"
167,metro,Brochant,station,no,"(48.8905757, 2.3202004)"
168,metro,La Fourche,station,no,"(48.886971, 2.3258228)"
169,metro,Ségur,station,no,"(48.8470114, 2.3074897)"
170,metro,Avenue Émile Zola,station,no,"(48.8470132, 2.2953191)"
171,metro,Assemblée Nationale,station,no,"(48.860697, 2.3210551)"
172,metro,Solférino,station,no,"(48.858657, 2.3229936)"
173,metro,Rennes,station,no,"(48.8481424, 2.3278065)"
174,metro,Notre-Dame des Champs,station,no,"(48.844688, 2.3288305)"
176,metro,Commerce,station,no,"(48.8447112, 2.2938643)"
177,metro,École Militaire,station,no,"(48.8546647, 2.3060728)"
178,metro,La Tour Maubourg,station,no,"(48.8575602, 2.3103234)"
180,metro,Filles du Calvaire,station,no,"(48.8633194, 2.3666124)"
181,metro,Saint-Sébastien - Froissart,station,no,"(48.8611816, 2.3671925)"
182,metro,Chemin Vert,station,no,"(48.8574497, 2.3681089)"
183,metro,Ledru-Rollin,station,no,"(48.8512945, 2.3760274)"
184,metro,Faidherbe — Chaligny,station,no,"(48.8501609, 2.3842222)"
185,metro,Montgallet,station,no,"(48.844304, 2.3901962)"
186,metro,Michel Bizot,station,no,"(48.8370694, 2.4024586)"
187,metro,Liberté,station,no,"(48.8264064, 2.406201)"
188,metro,Porte Dorée,station,no,"(48.8352765, 2.4061775)"
189,metro,Picpus,station,no,"(48.8450817, 2.4010991)"
190,metro,Porte de Charenton,station,no,"(48.8322315, 2.3990408)"
191,metro,Trinité d'Estienne d'Orves,station,no,"(48.8763251, 2.3326415)"
192,metro,Notre-Dame de Lorette,station,no,"(48.8759935, 2.3385437)"
193,metro,Saint-Georges,station,no,"(48.8784469, 2.337458)"
194,metro,Abbesses,station,no,"(48.8845677, 2.3379294)"
195,metro,Lamarck - Caulaincourt,station,no,"(48.8897543, 2.3388254)"
196,metro,Jules Joffrin,station,no,"(48.8924628, 2.3446394)"
197,metro,Porte de la Chapelle,station,limited,"(48.8977035, 2.3594563)"
198,metro,Simplon,station,no,"(48.8938481, 2.3478412)"
199,metro,Gare de l'Est,station,,"(48.8762027, 2.3579127)"
203,metro,Cité,station,no,"(48.8552968, 2.3475476)"
204,metro,Saint-Michel,station,yes,"(48.8533014, 2.3435309)"
205,metro,Saint-Germain-des-Prés,station,no,"(48.853638, 2.3344604)"
206,metro,Saint-Placide,station,no,"(48.8471196, 2.3270286)"
207,metro,Vavin,station,no,"(48.8422164, 2.3290114)"
208,metro,Charles Michels,station,no,"(48.8465262, 2.2858801)"
209,metro,Javel - André Citroën,station,no,"(48.8461584, 2.2783035)"
210,metro,Église d'Auteuil,station,no,"(48.8473406, 2.2686929)"
211,metro,Porte d'Auteuil,station,no,"(48.8479478, 2.2586493)"
212,metro,Chardon-Lagache,station,no,"(48.845414, 2.267172)"
213,metro,Mirabeau,station,no,"(48.8468038, 2.2717155)"
214,metro,Boulogne - Jean Jaurès,station,no,"(48.841978, 2.238742)"
215,metro,Boulogne - Pont de Saint-Cloud,station,no,"(48.8407449, 2.2285445)"
216,metro,Goncourt,station,no,"(48.8699854, 2.3710671)"
217,metro,Rambuteau,station,no,"(48.86178, 2.353809)"
219,metro,Télégraphe,station,no,"(48.875525, 2.3990429)"
220,metro,Pyrénées,station,no,"(48.8738565, 2.3852638)"
221,metro,Jourdain,station,no,"(48.8750944, 2.38933)"
222,metro,Gaîté,station,no,"(48.8386332, 2.3224866)"
223,metro,Plaisance,station,no,"(48.8317799, 2.3140252)"
224,metro,Pernety,station,no,"(48.8340019, 2.3181769)"
225,metro,Malakoff - Plateau de Vanves,station,yes,"(48.8225032, 2.2984833)"
226,metro,Bréguet-Sabin,station,no,"(48.8566333, 2.3704333)"
227,metro,Richard Lenoir,station,no,"(48.8602134, 2.3720741)"
228,metro,Riquet,station,no,"(48.8884812, 2.3742226)"
229,metro,Crimée,station,no,"(48.8908513, 2.3773681)"
230,metro,Corentin Cariou,station,no,"(48.8947282, 2.3823046)"
231,metro,Porte de la Villette,station,,"(48.8974039, 2.385591)"
235,metro,Sully - Morland,station,no,"(48.8513954, 2.3618174)"
236,metro,Pont Marie,station,no,"(48.8537872, 2.3565905)"
237,metro,Place Monge,station,no,"(48.8429053, 2.3522772)"
238,metro,Censier - Daubenton,station,no,"(48.8406473, 2.3519334)"
239,metro,Les Gobelins,station,no,"(48.8356445, 2.3527513)"
240,metro,Pré Saint-Gervais,station,,"(48.8799345, 2.3990632)"
241,metro,Danube,station,no,"(48.8819444, 2.3933608)"
242,metro,Mairie des Lilas,station,no,"(48.8797602, 2.4164717)"
243,metro,Saint-Fargeau,station,no,"(48.8715218, 2.4043104)"
244,metro,Pelleport,station,no,"(48.8680997, 2.4013152)"
245,metro,Saint-Marcel,station,no,"(48.8382761, 2.3608491)"
246,metro,Campo-Formio,station,no,"(48.8356545, 2.3589273)"
247,metro,Guy Môquet,station,no,"(48.8927239, 2.3273521)"
248,metro,Porte de Saint-Ouen,station,,"(48.8971883, 2.328869)"
249,metro,Garibaldi,station,no,"(48.9057701, 2.3317631)"
253,metro,Tolbiac,station,no,"(48.8260904, 2.3573505)"
254,metro,Maison Blanche,station,no,"(48.8224745, 2.358504)"
255,metro,Porte d'Italie,station,no,"(48.8190866, 2.359533)"
256,metro,Les Agnettes,station,yes,"(48.9231172, 2.2862019)"
259,metro,Fort d'Aubervilliers,station,,"(48.9142573, 2.4038072)"
260,metro,Aubervilliers - Pantin - Quatre Chemins,station,,"(48.9036279, 2.3922499)"
261,metro,La Courneuve - 8 mai 1945,station,,"(48.9207595, 2.410766)"
263,rer,Garges - Sarcelles,station,yes,"(48.9767849, 2.3904795)"
264,metro,Champs-Élysées - Clemenceau,station,no,"(48.8678013, 2.3138853)"
265,rer,Le Vésinet - Le Pecq,station,yes,"(48.8982337, 2.121941)"
266,rer,Le Bras-de-Fer - Évry - Génopole,station,,"(48.6232324, 2.4507665)"
267,rer,Évry Courcouronnes-Centre,station,,"(48.625989, 2.428907)"
269,rer,La Ferté-Alais,station,,"(48.4847616, 2.3517701)"
270,rer,Noisiel,station,yes,"(48.8434831, 2.6163935)"
271,rer,Lognes,station,yes,"(48.839115, 2.6336984)"
272,metro,Créteil-L'Échat,station,,"(48.7965908, 2.4493852)"
273,metro,Créteil Université,station,,"(48.7899004, 2.4505696)"
274,metro,Maisons-Alfort — Les Juilliottes,station,no,"(48.8033311, 2.4456085)"
275,metro,Maisons-Alfort — Stade,station,no,"(48.8090371, 2.4347211)"
276,metro,École Vétérinaire de Maisons-Alfort,station,no,"(48.8150196, 2.4217316)"
277,metro,Charenton-Écoles,station,no,"(48.8215612, 2.4137829)"
279,tram,Brimborion,tram_stop,yes,"(48.8221655, 2.2313906)"
280,rer,La Plaine - Stade de France,station,yes,"(48.9182399, 2.3624012)"
281,tram,L'Abbaye,tram_stop,,"(48.9220568, 2.5165721)"
282,tram,Lycée Henri Sellier,tram_stop,,"(48.916051, 2.5150968)"
283,metro,Villejuif - Léo Lagrange,station,no,"(48.8051317, 2.3637903)"
284,metro,Villejuif - Louis Aragon,station,yes,"(48.7869402, 2.3673857)"
285,metro,Villejuif - Paul Vaillant-Couturier,station,,"(48.7961557, 2.3683565)"
286,metro,Le Kremlin-Bicêtre,station,no,"(48.810328, 2.3622359)"
287,rer,Nogent – Le Perreux,station,,"(48.8386144, 2.4942525)"
288,rer,Grigny-Centre,station,,"(48.6542503, 2.3963647)"
289,metro,Saint-Sulpice,station,no,"(48.8511006, 2.3307247)"
290,metro,Château Landon,station,no,"(48.8788923, 2.3624779)"
291,rer,Luxembourg,station,yes,"(48.8454719, 2.339808)"
292,rer,La Courneuve - Aubervilliers,station,,"(48.9240954, 2.384957)"
293,rer,Magenta,station,limited,"(48.8807194, 2.3590962)"
294,rer,Pantin,station,no,"(48.8979517, 2.4004902)"
297,rer,Drancy,station,limited,"(48.9327015, 2.4545327)"
298,rer,Survilliers - Fosses,station,,"(49.0995663, 2.5255044)"
299,rer,Chantilly - Gouvieux,station,,"(49.1872381, 2.4595267)"
300,rer,Orry-la-Ville Coye-la-Forêt,station,,"(49.13816, 2.4903877)"
301,rer,La Borne Blanche,station,,"(49.1269972, 2.5057866)"
302,rer,Gretz-Armainvilliers,station,,"(48.7454025, 2.7286494)"
303,rer,Le Blanc-Mesnil,station,,"(48.9322839, 2.4771892)"
305,metro,Bir-Hakeim,station,yes,"(48.8538898, 2.2893811)"
306,rer,Boutigny,station,,"(48.4348564, 2.3762291)"
307,rer,Auber,station,yes,"(48.8722245, 2.3297877)"
308,metro,Billancourt,station,,"(48.8317277, 2.2373655)"
310,rer,Franconville - Le Plessis-Bouchard,station,,"(48.9934276, 2.2350311)"
311,metro,Pont de Sèvres,station,no,"(48.8296613, 2.2308732)"
312,rer,Mennecy,station,,"(48.5710339, 2.433119)"
313,rer,Nanterre-Préfecture,station,yes,"(48.8957273, 2.2231626)"
314,metro,Porte de Choisy,station,no,"(48.8201241, 2.3647858)"
315,metro,Pierre et Marie Curie,station,no,"(48.8159011, 2.3773455)"
316,metro,Vaneau,station,no,"(48.8491427, 2.3218878)"
317,rer,Savigny-le-Temple - Nandy,station,,"(48.5955618, 2.5839163)"
319,rer,Boussy-Saint-Antoine,station,,"(48.6808529, 2.5328555)"
320,rer,Combs-la-Ville - Quincy,station,yes,"(48.6675439, 2.5478602)"
321,rer,Vigneux-sur-Seine,station,,"(48.7082768, 2.4144646)"
322,tram,Remise à Jorelle,tram_stop,yes,"(48.8930277, 2.4882722)"
323,tram,Bondy,tram_stop,yes,"(48.8940455, 2.480314)"
324,rer,Villabé,station,,"(48.5928817, 2.4614421)"
325,rer,Brunoy,station,limited,"(48.6991148, 2.5064435)"
328,rer,Le Plessis-Chenet,station,,"(48.5735643, 2.4795726)"
329,rer,Malesherbes,station,,"(48.2934162, 2.4011985)"
330,tram,Porte d'Orléans,tram_stop,yes,"(48.8233117, 2.3248777)"
331,tram,Porte d'Orléans,tram_stop,yes,"(48.8229685, 2.3262586)"
332,rer,Nanterre-Université,station,no,"(48.9010513, 2.2133626)"
333,metro,Ternes,station,no,"(48.8782859, 2.2990808)"
336,metro,Créteil-Pointe du Lac,station,,"(48.7687461, 2.4643793)"
337,rer,Robinson,station,yes,"(48.7800971, 2.2812102)"
338,rer,Bourg-la-Reine,station,yes,"(48.7802471, 2.312232)"
339,rer,Val d'Europe,station,yes,"(48.8555153, 2.7736493)"
341,tram,Issy Val-de-Seine,tram_stop,yes,"(48.8297745, 2.2630701)"
342,tram,Jacques-Henri Lartigue,tram_stop,yes,"(48.8247736, 2.2605318)"
343,metro,Avron,station,no,"(48.8514841, 2.3981859)"
345,rer,Gare de Lyon,station,no,"(48.8435283, 2.3743132)"
347,rer,Gentilly,station,yes,"(48.8153713, 2.3408362)"
350,rer,Nogent-sur-Marne,station,yes,"(48.8351671, 2.4718177)"
351,tram,Henri Farman,tram_stop,yes,"(48.8347291, 2.2712692)"
352,tram,Parc de Saint-Cloud,tram_stop,yes,"(48.8430137, 2.2218074)"
353,tram,Belvédère,tram_stop,yes,"(48.8760231, 2.22595)"
361,metro,Marcadet - Poissonniers,station,no,"(48.8914837, 2.3497296)"
364,tram,Les Coteaux,tram_stop,yes,"(48.8573802, 2.2205603)"
365,tram,Les Milons,tram_stop,yes,"(48.8498344, 2.2212108)"
366,tram,Les Moulineaux,tram_stop,yes,"(48.8214549, 2.2510185)"
367,tram,Puteaux,tram_stop,yes,"(48.8832813, 2.2337961)"
368,tram,Suresnes - Longchamp,tram_stop,yes,"(48.8682858, 2.2213691)"
369,rer,Saint-Ouen-l'Aumône,station,yes,"(49.0453394, 2.1060616)"
370,rer,Choisy-le-Roi,station,,"(48.7643737, 2.4112139)"
371,tram,Rougemont - Chanteloup,tram_stop,,"(48.9307979, 2.5153232)"
372,tram,L'Abbaye,tram_stop,,"(48.9218616, 2.5163429)"
373,tram,Freinville - Sevran,tram_stop,,"(48.9264278, 2.5191086)"
374,tram,Lycée Henri Sellier,tram_stop,,"(48.9160467, 2.5150584)"
376,metro,Sèvres-Lecourbe,station,no,"(48.8456163, 2.3095848)"
377,rer,Vincennes,station,yes,"(48.8473177, 2.4334904)"
379,rer,Nation,station,yes,"(48.8482705, 2.3958306)"
380,rer,Les Ardoines,station,no,"(48.7829984, 2.4094509)"
381,metro,Bobigny - Pablo Picasso,station,,"(48.9060505, 2.4492007)"
382,tram,Porte de Choisy,tram_stop,yes,"(48.8197321, 2.3641113)"
383,metro,Porte de Clignancourt,station,no,"(48.8973976, 2.3448521)"
387,rer,Boissy-Saint-Léger,station,,"(48.7530368, 2.5052633)"
388,rer,Le Vésinet Centre,station,yes,"(48.8900879, 2.1345954)"
389,tram,Aulnay-sous-Bois,tram_stop,,"(48.9319207, 2.4962517)"
390,rer,Joinville-le-Pont,station,yes,"(48.8210037, 2.463862)"
391,rer,Chelles Gournay,station,,"(48.874144, 2.5827315)"
392,rer,Ermont - Eaubonne,station,yes,"(48.980694, 2.2714017)"
394,metro,Europe,station,no,"(48.8787676, 2.3222643)"
395,tram,Les Coquetiers,tram_stop,,"(48.8925198, 2.4993722)"
